,Year,Make,Model,Variant,Engine Type,City,Transmission,Price_numeric,Distance_numeric,New_price_numeric,Price_Drop_%,to_drop
7118,2022,MG,Hector [2021-2023],Sharp 1.5 Petrol CVT,Petrol,Chennai,Automatic (CVT),1850000.0,24000,2003000.0,7.63854218671992,0
7122,2016,Honda,Amaze [2013-2016],1.2 SX i-VTEC,Petrol,Chennai,Manual,550000.0,52429,675000.0,18.51851851851852,0
7125,2014,Honda,Amaze [2013-2016],1.2 VX AT i-VTEC,Petrol,Chennai,Automatic,450000.0,57849,805000.0,44.099378881987576,0
7126,2020,Maruti Suzuki,XL6,Zeta AT Petrol,Petrol,Chennai,Automatic (TC),1150000.0,23000,1301000.0,11.606456571867794,0
7127,2015,Honda,City [2014-2017],E,Petrol,Chennai,Manual,549000.0,143000,841000.0,34.720570749108205,0
7128,2022,Volvo,XC40,B4 Ultimate,Mild,+,Automatic,4500000.0,7800,4640000.0,3.0172413793103448,0
7129,2019,Honda,Jazz,V,Petrol,Chennai,Manual,690000.0,8500,811000.0,14.919852034525277,0
7131,2021,Hyundai,Creta,EX 1.5 Petrol,Petrol,Chennai,Manual,1050000.0,20304,1221000.0,14.004914004914005,0
7132,2021,Hyundai,Venue [2019-2022],SX 1.0 Turbo,Petrol,Chennai,Manual,975000.0,30000,1021000.0,4.505386875612145,0
7136,2018,Hyundai,Creta [2018-2019],SX 1.6 Dual Tone Petrol,Petrol,Chennai,Manual,1125000.0,26000,1256000.0,10.429936305732484,0
7138,2016,Jaguar,XE [2016-2019],Prestige,Petrol,Chennai,Automatic,2500000.0,44000,4437000.0,43.65562316880776,0
7140,2018,Renault,Captur,RXE Diesel,Diesel,Chennai,Manual,695000.0,71567,1051000.0,33.87250237868697,0
7144,2021,Tata,Harrier [2019-2023],2021 XZ Plus Dark Edition,Diesel,Chennai,Manual,1800000.0,40000,2129000.0,15.453264443400657,0
7145,2017,Hyundai,Eon,1.0 Kappa Magna (O) AirBag,Petrol,Chennai,Manual,300000.0,80000,471000.0,36.30573248407643,0
7149,2020,Kia,Carnival,Limousine Plus 7 STR,Diesel,Chennai,Automatic (TC),2650000.0,131000,3548000.0,25.310033821871475,0
7150,2014,Toyota,Fortuner [2012-2016],3.0 4x4 MT,Diesel,Chennai,Manual,1650000.0,70000,2732000.0,39.60468521229868,0
7151,2019,Toyota,Fortuner [2016-2021],2.8 4x4 AT,Diesel,Chennai,Automatic (TC),3300000.0,110968,3445000.0,4.2089985486211905,0
7152,2015,Ford,Aspire,Trend 1.2 Ti-VCT,Petrol,Chennai,Manual,480000.0,60702,669000.0,28.251121076233183,0
7153,2019,Maruti Suzuki,Baleno [2015-2019],Delta 1.2,Petrol,Chennai,Manual,585000.0,20501,625000.0,6.4,0
7155,2016,Hyundai,Elite i20 [2014-2015],Sportz 1.2,Petrol,Chennai,Manual,555000.0,58088,676000.0,17.899408284023668,0
7158,2017,Honda,Jazz,V,Petrol,Chennai,Manual,475000.0,91994,811000.0,41.43033292231812,0
7159,2022,Tata,Altroz,XZ Plus Petrol,Petrol,Chennai,Manual,775000.0,10289,900000.0,13.88888888888889,0
7160,2018,Jeep,Compass [2017-2021],Limited 2.0 Diesel,Diesel,Chennai,Manual,1290000.0,75000,1973000.0,34.61733400912316,0
7161,2017,Maruti Suzuki,Swift,VXi,Petrol,Chennai,Manual,520000.0,62193,700000.0,25.71428571428571,0
7162,2019,Tata,Hexa,XM 4x2 7 STR,Diesel,Chennai,Manual,1290000.0,71990,1520000.0,15.131578947368421,0
7163,2021,Honda,Jazz,ZX,Petrol,Chennai,Manual,840000.0,11352,943000.0,10.922587486744433,0
7164,2016,Maruti Suzuki,Swift DZire [2011-2015],ZDI,Diesel,Chennai,Manual,645000.0,98152,768000.0,16.015625,0
7166,2021,MG,Hector Plus [2020-2023],Select 2.0 Diesel Turbo MT 7-STR,Diesel,Chennai,Manual,1750000.0,32000,2064000.0,15.213178294573643,0
7168,2016,Skoda,Rapid [2015-2016],1.5 TDI CR Style Plus,Diesel,Chennai,Manual,595000.0,88429,1105000.0,46.15384615384615,0
7169,2016,Hyundai,Creta [2015-2017],1.6 SX,Diesel,Chennai,Manual,949000.0,88000,1266000.0,25.039494470774095,0
7170,2019,Maruti Suzuki,Ciaz,Alpha 1.5,Diesel,Chennai,Manual,840000.0,88000,1118000.0,24.86583184257603,0
7171,2021,Hyundai,Venue,SX (O) 1.0 Turbo iMT,Petrol,Chennai,Clutchless Manual (IMT),1099000.0,30000,1235000.0,11.012145748987855,0
7172,2018,Audi,A3 [2014-2017],35 TDI Technology,Diesel,Chennai,Automatic,2199000.0,56000,3371000.0,34.76713141501038,0
7173,2016,Audi,Q3 [2012-2015],35 TDI Premium,Diesel,Chennai,Automatic,1999000.0,71000,3375000.0,40.770370370370365,0
7174,2022,Tata,Tigor,XZ,Petrol,Chennai,Manual,699000.0,59000,730000.0,4.2465753424657535,0
7177,2016,Hyundai,Elite i20 [2014-2015],Asta 1.2,Petrol,Chennai,Manual,445000.0,73920,712000.0,37.5,0
7178,2018,Jeep,Compass [2017-2021],Limited 2.0 Diesel,Diesel,Chennai,Manual,1299000.0,75000,1973000.0,34.16117587430309,0
7179,2016,Skoda,Rapid,Style 1.5 TDI,Diesel,Chennai,Manual,725000.0,63000,1118000.0,35.152057245080506,0
7180,2014,Honda,Brio,S MT,Petrol,Chennai,Manual,385000.0,50000,532000.0,27.631578947368425,0
7183,2017,Hyundai,Elite i20 [2014-2015],Sportz 1.4,Diesel,Chennai,Manual,545000.0,127080,797000.0,31.618569636135508,0
7184,2015,Honda,Jazz,V,Petrol,Chennai,Manual,425000.0,103684,811000.0,47.59556103575832,0
7189,2015,Honda,Amaze [2013-2016],1.2 S i-VTEC,Petrol,Chennai,Manual,520000.0,54000,620000.0,16.129032258064516,0
7192,2016,Maruti Suzuki,Baleno [2015-2019],Zeta 1.2,Petrol,Chennai,Manual,590000.0,72251,686000.0,13.994169096209912,0
7193,2018,Hyundai,Creta [2017-2018],E Plus 1.4 CRDI,Diesel,Chennai,Manual,995000.0,94939,1000000.0,0.5,0
7194,2020,Hyundai,Venue,S 1.2 Petrol,Petrol,Chennai,Manual,795000.0,11212,911000.0,12.733260153677278,0
7197,2017,Maruti Suzuki,Ignis,Alpha 1.2 MT,Petrol,Chennai,Manual,590000.0,37000,761000.0,22.470433639947437,0
7198,2015,Audi,TT [2012-2015],2.0 TFSI Quattro,Petrol,Chennai,Automatic,3200000.0,29307,6911000.0,53.69700477499638,0
7199,2022,Skoda,Kushaq,Style 1.0L TSI AT,Petrol,Chennai,Automatic (TC),1575000.0,30000,1789000.0,11.961989938513137,0
7201,2020,Kia,Carnival,Limousine Plus 7 STR,Diesel,Chennai,Automatic (TC),3199000.0,51000,3548000.0,9.836527621195039,0
7202,2021,Kia,Seltos [2019-2022],HTX Plus 1.5 Diesel,Diesel,Chennai,Manual,1399000.0,75000,1639000.0,14.643075045759609,0
7204,2019,Maruti Suzuki,Ignis,Delta 1.2 AMT,Petrol,Chennai,Automatic (AMT),605000.0,50000,688000.0,12.063953488372094,0
7205,2021,MG,Gloster,Savvy 6 STR 2.0 Twin Turbo 4WD,Diesel,Chennai,Automatic (TC),3600000.0,40000,4316000.0,16.589434661723818,0
7207,2021,Hyundai,i20,Asta (O) 1.2 MT,Petrol,Chennai,Manual,825000.0,63000,1000000.0,17.5,0
7208,2014,Maruti Suzuki,Ritz,Zdi BS-IV,Diesel,Chennai,Manual,425000.0,68000,681000.0,37.59177679882526,0
7209,2014,Volvo,V40 Cross Country [2013-2016],D3,Diesel,Chennai,Automatic,1290000.0,57085,3328000.0,61.237980769230774,0
7214,2022,Skoda,Kushaq,Style 1.5L TSI DSG,Petrol,Chennai,Automatic (DCT),1650000.0,24000,1979000.0,16.624557857503792,0
7215,2017,Skoda,Rapid,Ambition 1.5 TDI,Diesel,Chennai,Manual,825000.0,65000,1001000.0,17.582417582417584,0
7219,2018,Maruti Suzuki,Ciaz [2017-2018],Alpha 1.4 AT,Petrol,Chennai,Automatic,799000.0,52000,1084000.0,26.29151291512915,0
7221,2018,Maruti Suzuki,S-Cross [2014-2017],Zeta 1.3,Diesel,Chennai,Manual,899000.0,47000,968000.0,7.128099173553719,0
7223,2016,Maruti Suzuki,Vitara Brezza [2016-2020],LDi,Diesel,Chennai,Manual,625000.0,51000,780000.0,19.871794871794872,0
7226,2022,Hyundai,i20,Asta (O) 1.2 MT,Petrol,Chennai,Manual,950000.0,3145,1000000.0,5.0,0
7228,2018,Hyundai,Elite i20 [2014-2015],Asta 1.2,Petrol,Chennai,Manual,650000.0,26000,712000.0,8.707865168539326,0
7229,2019,Honda,City [2014-2017],E,Petrol,Chennai,Manual,800000.0,67980,841000.0,4.875148632580261,0
7232,2021,Hyundai,Venue,SX 1.5 CRDi,Diesel,Chennai,Manual,1075000.0,40000,1237000.0,13.096200485044463,0
7235,2019,Mahindra,Marazzo,M2 8 STR,Diesel,Chennai,Manual,1045000.0,46000,1439000.0,27.38012508686588,0
7236,2018,Hyundai,Elite i20 [2018-2019],Asta 1.4 (O) CRDi,Diesel,Chennai,Manual,805000.0,53000,924000.0,12.878787878787879,0
7240,2016,Hyundai,Grand i10,Magna 1.2 Kappa VTVT,Petrol,Chennai,Manual,470000.0,53000,606000.0,22.442244224422442,0
