Year,Make,Model,Variant,Engine Type,City,Transmission,Price_numeric,Distance_numeric,New_price_numeric,Price_Drop_%
2018,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,450000.0,35000,700000.0,35.714285714285715
2016,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,435000.0,71000,700000.0,37.857142857142854
2017,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,575000.0,53580,700000.0,17.857142857142858
2020,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,675000.0,35000,700000.0,3.571428571428571
2016,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,500000.0,35276,700000.0,28.57142857142857
2015,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,500000.0,70741,700000.0,28.57142857142857
2014,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,385000.0,27000,700000.0,45.0
2017,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,535000.0,43000,700000.0,23.57142857142857
2016,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,490000.0,71805,700000.0,30.0
2018,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,550000.0,30572,700000.0,21.428571428571427
2015,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,490000.0,49886,700000.0,30.0
2016,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,515000.0,75058,700000.0,26.42857142857143
2015,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,475000.0,53000,700000.0,32.142857142857146
2014,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,445000.0,67650,700000.0,36.42857142857142
2015,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,475000.0,40000,700000.0,32.142857142857146
2014,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,415000.0,54446,700000.0,40.714285714285715
2020,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,550000.0,14360,700000.0,21.428571428571427
2017,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,495000.0,80000,700000.0,29.28571428571429
2014,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,400000.0,68200,700000.0,42.857142857142854
2024,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,500000.0,50000,700000.0,28.57142857142857
2017,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,650000.0,1200,700000.0,7.142857142857142
2022,Maruti Suzuki,Swift,VXi,Petrol,Ahmedabad,Manual,700000.0,1972,700000.0,0.0
2021,Maruti Suzuki,Swift,VXi,Petrol,Ahmedabad,Manual,700000.0,76623,700000.0,0.0
2014,Maruti Suzuki,Swift,VXi,Petrol,Ahmedabad,Manual,700000.0,62208,700000.0,0.0
2021,Maruti Suzuki,Swift,VXi,Petrol,Ahmedabad,Manual,700000.0,39841,700000.0,0.0
